,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,  4087.1 10 ?,A   ,"(2,3,4)", ,  3250.1 10 ?,100,,836.9,2+
,  4117.4 5 ?,A   ,"(2,3,4)", ,  1703.3 4 ?,100,,2414.11,(3-)
,  4142.5 10 ?,A   ,"(2,3,4)", ,  3305.5 10 ?,100,,836.9,2+
,  4168.2 4 ,A   ,"(2,3,4)", ,"  1755.8 8 
  2241.5 4 ","  100 25 
   60 8 ","
","  2414.11
  1926.28","(3-)
(3-)"
,  4198.49 23 ,A   ,"(2,3,4)", ,"  1594.5 2 
  2272.2 5 
  3362.2 10 ","   22.7 20 
  100 20 
   15.3 20 ","

","  2603.94
  1926.28
   836.9","(4-)
(3-)
2+"
,  4211.0 10 ?,A   ,"(2,3,4)", ,  3374.0 10 ?,100,,836.9,2+
,  4268.4 10 ?,A   ,"(2,3,4)", ,  3431.4 10 ?,100,,836.9,2+
,  4281.65 23 ?,A   ,"(2,3,4)", ,"  1632.0 2 ?
  2354.4 5 ?","  100 9 
   62 6 ","
","  2649.78
  1926.28","4(+)
(3-)"
,  4308.4 10 ?,A   ,"(2,3,4)", ,  3471.4 10 ?,100,,836.9,2+
,  4361.0 5 ,A   ,"(2,3,4)", ,  1757.0 4 ,100,,2603.94,(4-)
,  4366.8 10 ?,A   ,"(2,3,4)", ,  3529.8 10 ?,100,,836.9,2+
,4382.8,  CD,(8-), ,   459.9 4 ,100,D ,3922.8,(7)-
,  4481.1 7 ,A   ,"(2,3,4)", ,  2554.8 6 ,100,,1926.28,(3-)
,4631.6,  CD,(8-), ,"   249.6 2 
   598.1 4 
   709.6 4 ","   33 7 
   78 11 
  100 16 ","

","  4382.8
  4034.5
  3922.8","(8-)
(7-)
(7)-"
,  4653.5 6 ?,A   ,"(2,3,4)", ,  2507.5 5 ?,100,,2146.00,4+
,  4673.7 4 ,A   ,"(2,3,4)", ,"  1934.5 4 
  3836.4 10 ","   15 4 
  100 10 ","
","  2739.19
   836.9","(4-)
2+"
,  4838.4 3 ,A   ,"(2,3,4)", ,"  2098.9 4 
  2189.0 4 
  2692.1 6 ","   69 7 
   76 7 
  100 11 ","

","  2739.19
  2649.78
  2146.00","(4-)
4(+)
4+"
